cycle,race_id,state_abbrev,y,pvi,same_raw,same_resid,same_gap,same_missing,econ,national,inc_diff,outparty,sen_personal_diff,house_personal_diff,gov_personal_diff,candidate_evidence_n,d_pid,r_pid,same_source_race_id,same_source_cycle,d_sen_n,r_sen_n,d_house_n,r_house_n,d_gov_n,r_gov_n
2014,26,IA,-8.6989644,2.10695857,25.41562033,12.475813256424482,6.0,0.0,-2.60262398023714,-1.804629999999996,0.0,0.0,0.0,3.3317955615037707,0.0,4,2736,4518,1554,2008,0,0,4,0,0,0
2014,15,KY,-15.96057449,-25.96014357,-5.93123914,-0.7043254049285519,6.0,0.0,-1.0576061871714115,-1.804629999999996,-1.0,0.0,0.0,0.0,0.0,0,4676,1585,1556,2008,0,0,0,0,0,0
2014,5,MT,-18.10618056,-15.25644322,45.83195508,55.63173303657321,6.0,0.0,-0.49925882232531027,-1.804629999999996,0.0,0.0,0.0,4.297949573369092,0.0,1,6351,3105,1564,2008,0,0,0,1,0,0
2014,1,NE,-34.28383256,-24.99413843,-17.89683309,1.4135331763393335,6.0,0.0,-1.2071550003094789,-1.804629999999996,0.0,0.0,0.0,0.0,0.0,0,4653,4659,1565,2008,0,0,0,0,0,0
2014,9,ME,-36.9768401,11.3010148,-22.7670245,-44.00536492673731,6.0,0.0,-2.3295638216572545,-1.804629999999996,-1.0,-1.0,0.0,0.0,0.0,0,4668,1602,1558,2008,0,0,0,0,0,0
2014,10,NJ,13.76275568,12.1275232,11.02031885,-8.853859970392596,1.0,0.0,-0.6136689677219254,-1.804629999999996,1.0,0.0,0.0,0.0,0.0,0,2713,4686,1567,2008,0,0,0,0,0,0
2014,8,NH,3.25508549,1.95169843,6.54463685,-7.223124801806546,6.0,0.0,-1.3563191727717028,-1.804629999999996,1.0,0.0,-11.293875853569366,0.0,0.0,2,1649,976,1566,2008,0,2,0,0,0,0
2014,30,WV,-28.63206901,-27.78699607,27.47565114,25.01470921089758,6.0,0.0,-2.6237712735648566,-1.804629999999996,0.0,0.0,0.0,-7.184460953816147,0.0,7,4627,2708,1578,2008,0,0,0,7,0,0
2014,16,VA,0.83240711,-0.32197589,31.69669917,26.6895057051115,6.0,0.0,-1.4841095596688225,-1.804629999999996,1.0,1.0,0.0,0.0,0.0,0,67,4683,1577,2008,0,0,0,0,0,0
2014,19,TX,-28.35091383,-19.70706688,-12.27027784,-2.8990054267981407,6.0,0.0,2.6950122773541807,-1.804629999999996,-1.0,0.0,0.0,0.0,0.0,0,4595,1699,1576,2008,0,0,0,0,0,0
2014,28,TN,-32.00774884,-23.96597359,-34.61185923,-36.971393263833626,6.0,0.0,-1.2874739524479706,-1.804629999999996,-1.0,0.0,0.0,-3.103234592950988,0.0,1,4612,167,1575,2008,0,0,1,0,0,0
2014,22,SD,-26.11370225,-20.24672198,24.98338469,33.98938163238816,6.0,0.0,-1.4669586361159892,-1.804629999999996,0.0,0.0,0.0,0.0,-4.651206738888118,1,4594,4593,1574,2008,0,0,0,0,0,1
2014,11,SC,-16.64029175,-15.17115093,-15.31276193,-11.637914427903981,6.0,0.0,0.6611652861395312,-1.804629999999996,-1.0,0.0,0.0,0.0,0.0,0,4581,1680,1573,2008,0,0,0,0,0,0
2014,33,RI,41.40580796,23.09444401,46.80896849,9.023164692629349,6.0,0.0,-0.8771802490555425,-1.804629999999996,1.0,0.0,0.0,0.5165497154732522,0.0,1,1675,4572,1572,2008,0,0,0,1,0,0
2014,20,OR,20.37041963,8.89765364,3.54784011,-12.716930166249435,6.0,0.0,0.9519520347470944,-1.804629999999996,1.0,0.0,0.0,0.0,0.0,0,1667,4570,1571,2008,0,0,0,0,0,0
