president,start_date,end_date,approval,disapproval,unsure,source_url
George W. Bush,05/20/2005,05/22/2005,46.0,50.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,05/02/2005,05/05/2005,50.0,45.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,04/29/2005,05/01/2005,48.0,49.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,04/18/2005,04/21/2005,48.0,49.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,04/04/2005,04/07/2005,50.0,45.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,04/01/2005,04/02/2005,48.0,48.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,03/21/2005,03/23/2005,45.0,49.0,6,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,03/18/2005,03/20/2005,52.0,44.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,03/07/2005,03/10/2005,52.0,44.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,2/25/2005,2/27/2005,52.0,45.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,02/21/2005,02/24/2005,51.0,45.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,02/07/2005,2/10/2005,49.0,48.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,2/4/2005,2/6/2005,57.0,40.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1/14/2005,1/16/2005,51.0,46.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1/7/2005,1/9/2005,52.0,44.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1/3/2005,1/5/2005,52.0,44.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,12/17/2004,12/19/2004,49.0,46.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,12/05/2004,12/08/2004,53.0,44.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,11/19/2004,11/21/2004,55.0,42.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,11/07/2004,11/10/2004,53.0,44.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,10/29/2004,10/31/2004,48.0,47.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,10/22/2004,10/24/2004,51.0,46.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,10/14/2004,10/16/2004,51.0,47.0,2,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,10/11/2004,10/14/2004,48.0,49.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,10/09/2004,10/10/2004,47.0,49.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,10/01/2004,10/03/2004,50.0,48.0,2,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,09/24/2004,09/26/2004,54.0,44.0,2,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,09/13/2004,09/15/2004,52.0,45.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,09/03/2004,09/05/2004,52.0,46.0,2,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,08/23/2004,08/25/2004,49.0,47.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,08/09/2004,08/11/2004,51.0,46.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,07/30/2004,08/01/2004,48.0,49.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
