cycle,state_abbrev,candidate_name,politician_id,wikidata_qid,match_status,match_score,wikidata_label,wikidata_description,state_local_quality_tier,prior_eligible_offices,undated_eligible_offices_review,wikipedia_fallback
2018,FL,Rick Scott,6506,Q439729,MATCHED,25,Rick Scott,United States Senator from Florida since 2019,0,"governor:Governor of Florida[2011-01-04,2019-01-07]",,Rick Scott | https://en.wikipedia.org/wiki/Rick_Scott | 
2018,HI,Mazie K. Hirono,502,Q16476,MATCHED,9,Mazie Hirono,American lawyer and politician (born 1947),3,"state_legislative:member of the Hawaii House of Representatives[1981-01-03,1994-12-02] | statewide:Lieutenant Governor of Hawaii[1994-12-02,2002-12-02] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2013-01-03,2015-01-03]",,
2018,HI,Ronald C. Curtis,10927,,NO_CONFIDENT_MATCH,5,,,0,,,NO_MATCH
2018,IN,Joe Donnelly,547,Q1691395,MATCHED,23,Joe Donnelly,American politician,2,"federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2013-01-03,2015-01-03]",,Joe Donnelly | https://en.wikipedia.org/wiki/Joe_Donnelly | tier2:house of representatives:2007
2018,IN,Mike Braun,8549,Q42804470,MATCHED,23,Mike Braun,American businessman and politician (born 1954),2,"state_legislative:member of the Indiana House of Representatives[2014-11-05,2017-11-05]",,
2018,MA,Elizabeth Ann Warren,975,Q434706,MATCHED,11,Elizabeth Warren,American politician (born 1949),0,"federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2013-01-03,2015-01-03]",,NO_MATCH
2018,MA,Geoff Diehl,9150,Q5534116,MATCHED,23,Geoff Diehl,American politician,0,,state_legislative:member of the Massachusetts House of Representatives,NO_MATCH
2018,MD,Benjamin L. Cardin,981,,NO_CONFIDENT_MATCH,6,,,0,,,NO_MATCH
2018,MD,Tony Campbell,9207,Q60733896,MATCHED,23,Tony Campbell,politician,0,,,NO_MATCH
2018,ME,Angus S. King Jr.,1187,Q544464,MATCHED,11,Angus King,American politician and lawyer (born 1944),0,"federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2013-01-03,2015-01-03] | governor:Governor of Maine[1995-01-05,2003-01-08] | federal:United States senator[2015-01-03,2017-01-03]",,NO_MATCH
2018,ME,Eric L. Brakey,8680,,NO_CONFIDENT_MATCH,0,,,0,,,NO_MATCH
2018,MI,Debbie Stabenow,984,Q241092,MATCHED,23,Debbie Stabenow,American politician (born 1950),2,"federal:United States senator[2003-01-03,2005-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2017-01-03,2019-01-03] | state_legislative:member of the Michigan House of Representatives[1979-01-01,1990-01-01] | state_legislative:member of the State Senate of Michigan[1991-01-12,1994-01-14] | federal:United States senator[2005-01-03,2007-01-03] | federal:United States senator[2001-01-03,2003-01-03] | federal:United States senator[2013-01-03,2015-01-03] | local:county commissioner[1975-01-01,1978-01-01] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2015-01-03,2017-01-03]",,
2018,MI,John James,8689,Q11801728,MATCHED,23,John James,"English politician, born 1610",0,,,John James | https://en.wikipedia.org/wiki/John_James | 
2018,MN,Amy Klobuchar,992,Q22237,MATCHED,23,Amy Klobuchar,American politician and lawyer (born 1960),0,"federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2017-01-03,2019-01-03]",,Amy Klobuchar | https://en.wikipedia.org/wiki/Amy_Klobuchar | 
2018,MN,Jim Newberger,9092,,NO_CONFIDENT_MATCH,0,,,2,,,Jim Newberger | https://en.wikipedia.org/wiki/Jim_Newberger | tier2:house of representatives:1964
2018,MN,Tina Smith,9090,Q18631509,MATCHED,25,Tina Smith,United States Senator from Minnesota,3,"statewide:Lieutenant Governor of Minnesota[2015-01-05,2018-01-02] | federal:United States senator[2018-01-03,2019-01-03]",,
2018,MN,Karin Housley,9091,Q16195595,MATCHED,23,Karin Housley,American politician,2,"state_legislative:member of the State Senate of Minnesota[2013-01-08,]",,
2018,MO,Claire McCaskill,997,Q22260,MATCHED,23,Claire McCaskill,American politician (born 1953),3,"federal:United States senator[2017-01-03,2019-01-03] | statewide:State Auditor of Missouri[1998-01-01,2006-01-01] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2011-01-03,2013-01-03] | state_legislative:member of the Missouri House of Representatives[1982-01-01,1988-01-01] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2009-01-03,2011-01-03]",,
2018,MO,Josh Hawley,8690,Q23020745,MATCHED,23,Josh Hawley,American lawyer and politician (born 1979),3,,,Josh Hawley | https://en.wikipedia.org/wiki/Josh_Hawley | tier3:attorney general:2017
2018,MS,David Baria,8693,Q5231124,MATCHED,23,David Baria,American politician,2,,state_legislative:member of the Mississippi House of Representatives,David Baria | https://en.wikipedia.org/wiki/David_Baria | tier2:house of representatives:2012
