race_id,cycle,state_abbrev,seat,recent_pres_year,older_pres_year,lean_recent_pctpt,lean_older_pctpt,pvi_default_067_033_pctpt
70,2016,MO,Class III,2012,2008,-13.37909898,-7.43347733,-11.41704384
62,2016,NC,Class III,2012,2008,-5.88983528,-6.96639243,-6.24509914
77,2016,ND,Class III,2012,2008,-24.04418205,-16.11563160,-21.42776040
85,2016,NH,Class III,2012,2008,1.84573849,2.43876321,2.04143664
63,2016,NV,Class III,2012,2008,2.99331886,5.47515722,3.81232551
61,2016,NY,Class III,2012,2008,24.73008860,19.85504317,23.12132361
67,2016,OH,Class III,2012,2008,-0.79365193,-2.63063751,-1.39985717
76,2016,OK,Class III,2012,2008,-37.36640496,-38.58848128,-37.76969014
65,2016,OR,Class III,2012,2008,8.72056889,9.52912332,8.98739185
86,2016,PA,Class III,2012,2008,1.64210253,3.16108860,2.14336793
66,2016,SC,Class III,2012,2008,-14.43827488,-16.38717741,-15.08141272
79,2016,SD,Class III,2012,2008,-22.25876375,-15.88973350,-20.15698377
73,2016,UT,Class III,2012,2008,-53.07414326,-36.35104178,-47.55551977
75,2016,VT,Class III,2012,2008,32.67275218,30.50004444,31.95575863
72,2016,WA,Class III,2012,2008,11.43483107,10.20573457,11.02922922
71,2016,WI,Class III,2012,2008,3.10509449,6.81303746,4.32871567
95,2017,AL,Class II,2016,2012,-30.80439597,-26.25422254,-29.30283874
96,2018,AZ,Class I,2016,2012,-5.83615558,-13.04852592,-8.21623779
97,2018,CA,Class I,2016,2012,30.20031281,19.92385686,26.80908235
98,2018,CT,Class I,2016,2012,12.22698625,13.72338948,12.72079932
99,2018,DE,Class I,2016,2012,9.94113411,15.07214437,11.63436749
100,2018,FL,Class I,2016,2012,-3.29377973,-2.93726119,-3.17612861
101,2018,HI,Class I,2016,2012,32.82656612,39.58593153,35.05715671
102,2018,IN,Class I,2016,2012,-22.29072783,-14.22251467,-19.62821749
105,2018,MA,Class I,2016,2012,27.24644860,19.74959603,24.77248725
104,2018,MD,Class I,2016,2012,25.97639059,22.82168610,24.93533811
103,2018,ME,Class I,2016,2012,1.13747348,11.89807732,4.68847274
106,2018,MI,Class I,2016,2012,-2.29144522,5.77929867,0.37190027
107,2018,MN,Class I,2016,2012,-0.39272137,4.06068745,1.07690354
129,2018,MN,Class II,2016,2012,-0.39272137,4.06068745,1.07690354
109,2018,MO,Class I,2016,2012,-21.69323077,-13.37909898,-18.94956728
108,2018,MS,Class I,2016,2012,-20.23580343,-15.42556387,-18.64842437
110,2018,MT,Class I,2016,2012,-24.27543742,-17.89022920,-22.16831870
116,2018,ND,Class I,2016,2012,-41.67459457,-24.04418205,-35.85655844
111,2018,NE,Class I,2016,2012,-29.15145701,-26.08054601,-28.13805638
113,2018,NJ,Class I,2016,2012,12.51227150,14.08216563,13.03033657
114,2018,NM,Class I,2016,2012,7.24548109,6.76864382,7.08812479
112,2018,NV,Class I,2016,2012,0.53131006,2.99331886,1.34377296
115,2018,NY,Class I,2016,2012,21.48877359,24.73008860,22.55840754
117,2018,OH,Class I,2016,2012,-10.59147794,-0.79365193,-7.35819535
118,2018,PA,Class I,2016,2012,-2.80718040,1.64210253,-1.33891703
119,2018,RI,Class I,2016,2012,14.58954065,24.21172649,17.76486198
120,2018,TN,Class I,2016,2012,-29.30479487,-24.52390852,-27.72710238
121,2018,TX,Class I,2016,2012,-11.48255994,-19.83755990,-14.23970993
122,2018,UT,Class I,2016,2012,-26.82190547,-53.07414326,-35.48514394
124,2018,VA,Class I,2016,2012,3.59664377,0.11298791,2.44703734
123,2018,VT,Class I,2016,2012,28.31674387,32.67275218,29.75422661
125,2018,WA,Class I,2016,2012,15.51775362,11.43483107,14.17038918
127,2018,WI,Class I,2016,2012,-2.87208686,3.10509449,-0.89961701
126,2018,WV,Class I,2016,2012,-46.37821328,-31.17036074,-41.35962194
128,2018,WY,Class I,2016,2012,-53.46674804,-46.14303349,-51.04992224
6265,2020,AK,Class II,2016,2012,-18.82741820,-18.45234643,-18.70364452
6266,2020,AL,Class II,2016,2012,-30.80439597,-26.25422254,-29.30283874
6267,2020,AR,Class II,2016,2012,-30.62638416,-28.13057617,-29.80276752
6268,2020,AZ,Class III,2016,2012,-5.83615558,-13.04852592,-8.21623779
6269,2020,CO,Class II,2016,2012,3.31055796,1.67424883,2.77057595
6270,2020,DE,Class II,2016,2012,9.94113411,15.07214437,11.63436749
6271,2020,GA,Class II,2016,2012,-7.37845398,-11.73506367,-8.81613518
6272,2020,IA,Class II,2016,2012,-12.18320447,2.09693838,-7.47075733
6273,2020,ID,Class II,2016,2012,-38.67646214,-36.66453916,-38.01252756
6274,2020,IL,Class II,2016,2012,15.98399400,13.33328131,15.10925881
6275,2020,KS,Class II,2016,2012,-24.27904947,-26.04841896,-24.86294140
6276,2020,KY,Class II,2016,2012,-33.39736682,-26.90731026,-31.25564815
6278,2020,MA,Class II,2016,2012,27.24644860,19.74959603,24.77248725
6279,2020,ME,Class II,2016,2012,1.13747348,11.89807732,4.68847274
6280,2020,MI,Class II,2016,2012,-2.29144522,5.77929867,0.37190027
